reference designator, x, y, rotate, side
U$3, 65.5, 4.5, 0, Top
JP5, 39.25, 8.5, 0, Top
R9, 41.75, 52.75, 90, Top
R10, 41.75, 47.875, 90, Top
R11, 41.75, 43, 90, Top
R12, 41.75, 38.25, 90, Top
U20, 13.75, 16.75, 0, Top
C1, 10.25, 9.75, 270, Top
C2, 17.25, 9.75, 270, Top
C3, 12.25, 9.75, 270, Top
C4, 15.25, 9.75, 270, Top
JP6, 6.5, 29.25, 90, Top
JP7, 6.5, 40.75, 90, Top
U$6, 65.5, 63, 0, Top
C7, 38, 27.75, 270, Top
C6, 35.75, 27.75, 270, Top
C5, 8.25, 22.25, 0, Top
Q1, 27.5, 31, 180, Top
C10, 31.25, 34.5, 180, Top
C11, 23.75, 34.5, 0, Top
R17, 14.5, 24.5, 90, Top
R18, 12.25, 24.5, 90, Top
R13, 41.75, 33.5, 90, Top
R14, 41.75, 28.75, 90, Top
U21, 29.5, 18.5, 90, Top
C9, 30.375, 9.75, 90, Top
C8, 32.5, 9.75, 90, Top
R15, 65.625, 28.75, 270, Top
R16, 65.625, 33.5, 270, Top
C12, 40.5, 14.5, 270, Top
C13, 47.5, 14.5, 90, Top
C14, 11.5, 45.75, 90, Top
JP4, 63.25, 14.25, 270, Top
C15, 13.75, 45, 270, Top
C16, 40.25, 20.75, 0, Top
C17, 39.625, 18.75, 180, Top
R19, 25.75, 9.75, 90, Top
LED1, 23.75, 9.75, 0, Top
R3, 65.625, 38.25, 270, Top
R4, 65.625, 43, 270, Top
U$9, 4.5, 63, 0, Top
U$10, 4.5, 4.5, 0, Top
JP3, 6.5, 14.25, 90, Top
U19, 44, 13.5, 180, Top
L1, 49.75, 14.5, 90, Top
R1, 49.75, 10.25, 270, Top
R2, 26.875, 46.75, 270, Top
R5, 24.375, 46.75, 270, Top
R6, 36.125, 10.75, 0, Top
U1, 3, 54, 180, Top
U2, 8.5, 54, 180, Top
U3, 14, 54, 180, Top
U4, 19.5, 54, 180, Top
U5, 25, 54, 180, Top
D2, 47.5, 10.25, 270, Top
U8, 47, 52.5, 270, Top
U9, 47, 47.75, 270, Top
U10, 47, 43, 270, Top
U11, 47, 38.25, 270, Top
U12, 47, 33.5, 270, Top
U13, 47, 28.75, 270, Top
U14, 60.5, 28.75, 90, Top
U15, 60.5, 33.5, 90, Top
U16, 60.5, 38.25, 90, Top
U17, 60.5, 43, 90, Top
R7, 32.375, 46.75, 270, Top
R8, 29.875, 46.75, 270, Top
U6, 30.5, 54, 180, Top
JP1, 20.75, 62.875, 0, Top
JP2, 49.875, 62.875, 0, Top
U$1, 10, 35, 0, Top
U$2, 48.5, 20.5, 0, Top
R20, 68.125, 46, 90, Top
R21, 68.125, 51, 90, Top
U18, 61, 50.5, 90, Top
U7, 36, 54, 180, Top
R22, 37.875, 46.75, 270, Top
R23, 35.375, 46.75, 270, Top
